Depth (m),ROP Avg(m/hr),Surface WOB Avg(klb),RPM Surface Avg (rpm),Torque Abs Avg (f-b),SPP Avg (psig),Flow in Pum Avg(gpm),M.wt(ppg),HOB(hr),Rev On Bit (krev),Bit Diameter,TFA(in2),pit volume(bbl),PP(ppg),OVB(ppg)
1300.5,10.2,4,119,2106,2510,1020,10.30,7.966666667,46.7,17.50,1.1688,752.78,8.895,13.005
1301,10.8,4.2,119,2100.3,2497,1020,10.30,8.016666667,47,17.50,1.1688,751.97,8.89,13.01
1301.5,10.5,4.1,119,2121.6,2491,1021,10.30,8.066666667,47.4,17.50,1.1688,742.95,8.885,13.01
1302,10.4,3.8,119,2105.8,2488,1021,10.30,8.116666667,47.7,17.50,1.1688,741.21,8.88,13.01
1302.5,11.6,4.1,119,2146.9,2479,1021,10.30,8.15,48,17.50,1.1688,739.98,8.885,13.015
1303,11.3,4.3,119,2149.3,2478,1021,10.30,8.2,48.4,17.50,1.1688,741.26,8.89,13.02
1303.5,11.6,4.6,119,2211.4,2469,1021,10.30,8.233333333,48.6,17.50,1.1688,737.45,8.905,13.02
1304,12.3,4.8,119,2286.7,2465,1022,10.30,8.283333333,49,17.50,1.1688,736.67,8.92,13.02
1304.5,13.4,5.4,119,2349.4,2468,1022,10.30,8.316666667,49.2,17.50,1.1688,734.46,8.92,13.025
1305,12.2,5.7,119,2347.9,2472,1022,10.30,8.366666667,49.5,17.50,1.1688,733.47,8.92,13.03
1305.5,11.9,4.8,119,2241.2,2483,1021,10.30,8.4,49.8,17.50,1.1688,737.03,8.925,13.03
1306,10.2,3.9,119,2085.1,2492,1021,10.30,8.45,50.2,17.50,1.1688,737.02,8.93,13.03
1306.5,9.2,2.9,119,1980.7,2494,1021,10.30,8.516666667,50.6,17.50,1.1688,736.93,8.935,13.035
1307,9.4,2.9,119,1984.9,2497,1020,10.30,8.566666667,50.9,17.50,1.1688,743.43,8.94,13.04
1307.5,9,3.2,119,2002.3,2497,1020,10.30,8.616666667,51.4,17.50,1.1688,743.82,8.94,13.04
1308,9.3,2.2,119,1947.9,2495,1020,10.30,8.666666667,51.7,17.50,1.1688,744.27,8.94,13.04
1308.5,10.3,2.9,119,2065.8,2486,1021,10.30,8.716666667,52.1,17.50,1.1688,743.43,8.935,13.045
1309,10.3,3.5,119,2108.8,2478,1021,10.30,8.766666667,52.4,17.50,1.1688,743.14,8.93,13.05
1309.5,10,3.2,119,2100.2,2475,1022,10.30,8.816666667,52.8,17.50,1.1688,736.61,8.94,13.05
1310,10,3.5,119,2142.6,2479,1022,10.30,8.866666667,53.2,17.50,1.1688,736.1,8.95,13.05
1310.5,10,3.7,119,2155.6,2484,1022,10.30,8.916666667,53.5,17.50,1.1688,738.61,8.95,13.055
1311,10.8,3.9,119,2223.6,2500,1021,10.30,8.966666667,53.8,17.50,1.1688,738.93,8.95,13.06
1311.5,10.2,3.9,119,2216.1,2511,1019,10.30,9.016666667,54.2,17.50,1.1688,738.57,8.955,13.06
1312,10.3,3.8,119,2243.2,2522,1020,10.30,9.066666667,54.5,17.50,1.1688,738.58,8.96,13.06
1312.5,10.5,3.8,119,2212.8,2528,1020,10.30,9.116666667,54.9,17.50,1.1688,729,8.99,13.065
1313,11.3,4.3,119,2240.4,2523,1019,10.30,9.15,55.2,17.50,1.1688,727.56,9.02,13.07
1313.5,11.6,4.4,119,2278.3,2507,1020,10.30,9.2,55.5,17.50,1.1688,728.61,9.025,13.07
1314,11.4,4.8,119,2326.9,2503,1020,10.30,9.233333333,55.8,17.50,1.1688,727.74,9.03,13.07
1314.5,10,3.7,119,2231.7,2496,1020,10.30,9.3,56.2,17.50,1.1688,729.86,9.01,13.075
