Depth (m),ROP Avg(m/hr),Surface WOB Avg(klb),RPM Surface Avg (rpm),Torque Abs Avg (f-b),SPP Avg (psig),Flow in Pum Avg(gpm),M.wt(ppg),HOB(hr),Rev On Bit (krev),Bit Diameter,TFA(in2),pit volume(bbl),PP(ppg),OVB(ppg)
1439.5,9,4.4,119,2252.5,2801,1006,10.50,23.03333333,155.1,17.50,1.1688,702.62,9.405,13.69
1440,9.3,4.1,119,2262.3,2798,1006,10.50,23.08333333,155.5,17.50,1.1688,702.67,9.33,13.69
1440.5,9.6,3.5,119,2245.7,2795,1006,10.50,23.15,155.9,17.50,1.1688,700.4,9.36,13.695
1441,9.8,3.3,119,2245.2,2794,1006,10.50,23.2,156.2,17.50,1.1688,696.17,9.39,13.7
1441.5,9.7,3.2,119,2240,2794,1006,10.50,23.23333333,156.6,17.50,1.1688,696.49,9.43,13.7
1442,9.5,3.4,119,2277.2,2796,1006,10.50,23.3,157,17.50,1.1688,692.14,9.47,13.7
1442.5,8.9,3.3,119,2284.3,2805,1006,10.50,23.35,157.4,17.50,1.1688,688.51,9.44,13.705
1443,9.9,3.6,119,2352.6,2816,1006,10.50,23.4,157.7,17.50,1.1688,685.91,9.41,13.71
1443.5,10.3,3.5,119,2364.1,2820,1006,10.50,23.45,158.1,17.50,1.1688,682.05,9.435,13.71
1444,10.7,3.7,119,2390.3,2821,1006,10.50,23.5,158.4,17.50,1.1688,680.92,9.46,13.71
1444.5,12.1,4.6,120,2539,2827,1005,10.50,23.55,158.7,17.50,1.1688,682.53,9.49,13.715
1445,10.8,4.4,120,2526.6,2820,1006,10.50,23.58333333,159,17.50,1.1688,684.02,9.52,13.72
1445.5,10.4,3.7,120,2445,2820,1006,10.50,23.63333333,159.4,17.50,1.1688,680.46,9.52,13.72
1446,10.2,3,120,2422.2,2819,1006,10.50,23.68333333,159.8,17.50,1.1688,679.32,9.52,13.72
1446.5,11.2,3.3,120,2482.3,2819,1006,10.50,23.73333333,160.1,17.50,1.1688,678.61,9.545,13.725
1447,11.3,3.1,120,2481.8,2817,1006,10.50,23.78333333,160.4,17.50,1.1688,678.68,9.57,13.73
1447.5,10.9,3.2,120,2510.6,2822,1005,10.50,23.81666667,160.7,17.50,1.1688,677.59,9.575,13.73
1448,11.1,3.4,120,2520.3,2828,1005,10.50,23.86666667,161.1,17.50,1.1688,677.54,9.58,13.73
1448.5,10.9,3.5,120,2524.6,2828,1005,10.50,23.91666667,161.4,17.50,1.1688,675.54,9.605,13.73
1449,10.8,3.3,120,2504.3,2833,1005,10.50,23.96666667,161.7,17.50,1.1688,675.56,9.63,13.73
1449.5,10.8,2.9,120,2493.2,2829,1005,10.50,24,162,17.50,1.1688,674.17,9.655,13.735
1450,10.7,2.8,120,2494.8,2826,1005,10.50,24.05,162.4,17.50,1.1688,674.16,9.68,13.74
1450.5,10.5,2.8,120,2498.9,2822,1005,10.50,24.1,162.7,17.50,1.1688,674.76,9.685,13.74
1451,10.4,2.5,120,2481.3,2820,1004,10.50,24.15,163,17.50,1.1688,675.42,9.69,13.74
1451.5,10.3,2.5,120,2516,2822,1005,10.50,24.2,163.4,17.50,1.1688,675.51,9.685,13.745
1452,10.8,3,120,2565.2,2819,1005,10.50,24.23333333,163.7,17.50,1.1688,675.45,9.68,13.75
1452.5,10.5,2.4,120,2533.1,2827,1005,10.50,24.28333333,164.1,17.50,1.1688,676.28,9.685,13.75
1453,9.9,1.8,120,2417,2821,1005,10.50,24.33333333,164.5,17.50,1.1688,677.19,9.69,13.75
1453.5,9.7,1.8,120,2394.9,2815,1006,10.50,24.38333333,164.8,17.50,1.1688,676.72,9.705,13.75
1454,9.7,1.5,120,2431.4,2813,1006,10.50,24.45,165.2,17.50,1.1688,677.22,9.72,13.75
1454.5,9,1.4,120,2437.4,2811,1005,10.50,24.5,165.6,17.50,1.1688,676.96,9.72,13.755
1455,8.6,1.1,120,2402.6,2817,1004,10.50,24.56666667,166,17.50,1.1688,676.72,9.72,13.76
1455.5,8.6,1,120,2390.9,2819,1005,10.50,24.61666667,166.4,17.50,1.1688,676.4,9.71,13.76
1456,8.2,1.1,120,2399.1,2813,1005,10.50,24.68333333,166.9,17.50,1.1688,675.11,9.7,13.76
1456.5,8.3,1.7,120,2460,2808,1005,10.50,24.73333333,167.3,17.50,1.1688,674.32,9.69,13.765
1457,8.9,1.6,120,2483.2,2799,1006,10.50,24.78333333,167.7,17.50,1.1688,674.67,9.68,13.77
1457.5,9.4,2,120,2549.9,2799,1006,10.50,24.85,168.1,17.50,1.1688,674.32,9.72,13.77
1458,9.2,1.8,120,2536.3,2794,1006,10.50,24.9,168.5,17.50,1.1688,674.74,9.76,13.77
1458.5,9.2,1.3,120,2513.4,2793,1006,10.50,24.95,168.9,17.50,1.1688,673.21,9.78,13.775
1459,9.9,1.3,120,2551.5,2779,1006,10.50,25,169.2,17.50,1.1688,673.08,9.8,13.78
1459.5,8.6,1,120,2489,2763,1007,10.50,25.06666667,169.7,17.50,1.1688,672.45,9.79,13.78
1460,9.5,1.1,120,2521.2,2753,1007,10.50,25.11666667,170,17.50,1.1688,671.33,9.78,13.78
1460.5,9.4,0.6,120,2446.5,2753,1007,10.50,25.16666667,170.4,17.50,1.1688,670.35,9.8,13.78
1461,9,0.6,120,2441.2,2754,1007,10.50,25.23333333,170.8,17.50,1.1688,669.04,9.82,13.78
1461.5,10,1.1,120,2516.6,2753,1007,10.50,25.28333333,171.2,17.50,1.1688,668.47,9.84,13.785
1462,10.8,1.5,120,2558.4,2755,1007,10.50,25.33333333,171.5,17.50,1.1688,666.84,9.86,13.79
1462.5,11.1,1.3,120,2555.1,2756,1007,10.50,25.36666667,171.8,17.50,1.1688,665.92,9.845,13.79
1463,11.1,1,120,2529.9,2757,1007,10.50,25.41666667,172.1,17.50,1.1688,664.94,9.83,13.79
1463.5,10.8,1.1,120,2544.2,2758,1007,10.50,25.46666667,172.5,17.50,1.1688,664.13,9.83,13.795
1464,10,1.5,119,2528.6,2772,1007,10.50,25.51666667,172.8,17.50,1.1688,660.99,9.83,13.8
1464.5,7.9,2.8,119,2428.5,2806,1009,10.50,25.58333333,173.4,17.50,1.1688,648.58,9.84,13.8
1465,6,3.7,119,2459.2,2811,1012,10.50,25.68333333,174.1,17.50,1.1688,647.74,9.85,13.8
1465.5,10,3.9,118,2510.8,2793,1013,10.50,25.73333333,174.5,17.50,1.1688,649.21,9.855,13.805
1466,10.5,3.8,118,2520.5,2791,1013,10.50,25.78333333,174.8,17.50,1.1688,649.8,9.86,13.81
1466.5,7.8,3.6,118,2486.6,2803,1013,10.50,25.85,175.3,17.50,1.1688,652.64,9.86,13.81
1467,9.1,3.2,119,2458,2806,1013,10.50,25.91666667,175.7,17.50,1.1688,654.12,9.86,13.81
1467.5,9.4,3.2,119,2460.6,2808,1013,10.50,25.96666667,176,17.50,1.1688,654.95,9.87,13.815
1468,10.4,3.3,119,2533.1,2811,1013,10.50,26.01666667,176.4,17.50,1.1688,654.8,9.88,13.82
1468.5,9.9,3.5,119,2553.5,2818,1013,10.50,26.06666667,176.8,17.50,1.1688,654.98,9.88,13.82
1469,8.5,3.8,119,2549.7,2824,1013,10.50,26.11666667,177.2,17.50,1.1688,657.11,9.88,13.82
1469.5,8.8,3,118,2567.7,2850,1012,10.50,26.18333333,177.6,17.50,1.1688,662.45,9.885,13.82
1470,9,2.7,118,2525.7,2871,1012,10.50,26.23333333,178,17.50,1.1688,676.54,9.89,13.82
1470.5,9.1,2.9,118,2543.5,2871,1011,10.50,26.28333333,178.4,17.50,1.1688,706.28,9.89,13.825
1471,9,3.3,118,2586.1,2820,1012,10.50,26.35,178.8,17.50,1.1688,710.43,9.89,13.83
1471.5,8.7,2.9,118,2570,2882,1011,10.50,26.4,179.2,17.50,1.1688,707.02,9.89,13.83
1472,9.6,3.2,118,2582.9,2905,1010,10.50,26.45,179.6,17.50,1.1688,688.11,9.89,13.83
1472.5,10,3.4,118,2597.4,2916,1009,10.50,26.5,179.9,17.50,1.1688,667.82,9.89,13.835
1473,10,3.3,118,2586.2,2899,1010,10.50,26.55,180.3,17.50,1.1688,660.15,9.89,13.84
1473.5,9.9,3.3,118,2586.5,2886,1011,10.50,26.6,180.6,17.50,1.1688,659.1,9.895,13.84
1474,10.1,3.5,118,2642.2,2888,1011,10.50,26.65,181,17.50,1.1688,658.27,9.9,13.84
1474.5,10.4,3.5,118,2660.8,2922,1010,10.50,26.7,181.3,17.50,1.1688,655.32,9.9,13.845
1475,10.5,3.4,118,2657.4,2944,1009,10.50,26.75,181.7,17.50,1.1688,654.42,9.9,13.85
1475.5,10.4,3.5,119,2666.1,2947,1009,10.50,26.8,182,17.50,1.1688,652.66,9.885,13.85
1476,10.8,3.7,118,2668.4,2954,1009,10.50,26.83333333,182.3,17.50,1.1688,652.8,9.87,13.85
1476.5,11,3.8,118,2680.6,2951,1009,10.50,26.88333333,182.6,17.50,1.1688,652.28,9.835,13.855
1477,11,3.3,118,2626.5,2947,1008,10.50,26.93333333,183,17.50,1.1688,651.56,9.8,13.86
1477.5,10.9,2.7,118,2546.2,2947,1009,10.50,26.98333333,183.3,17.50,1.1688,651.95,9.785,13.86
1478,10.9,3.2,119,2482.4,2948,1010,10.50,27.03333333,183.6,17.50,1.1688,653.65,9.77,13.86
1478.5,10.7,3.4,118,2458.2,2946,1010,10.50,27.06666667,183.9,17.50,1.1688,654.35,9.765,13.865
1479,10.5,3,119,2447.7,2948,1010,10.50,27.11666667,184.3,17.50,1.1688,654.68,9.76,13.87
1479.5,10.2,3.3,118,2475.4,2950,1010,10.50,27.16666667,184.6,17.50,1.1688,654.29,9.765,13.87
1480,9.7,3.1,118,2409.4,2946,1010,10.50,27.21666667,185,17.50,1.1688,653.21,9.77,13.87
1480.5,10.2,3.1,118,2409.2,2935,1010,10.50,27.26666667,185.4,17.50,1.1688,650.44,9.76,13.875
1481,9.8,2.9,118,2389.3,2905,1010,10.50,27.31666667,185.7,17.50,1.1688,649.81,9.75,13.88
1481.5,9.5,2.6,118,2367.1,2872,1011,10.50,27.38333333,186.1,17.50,1.1688,647.31,9.74,13.88
1482,9.4,2.2,118,2356,2864,1011,10.50,27.43333333,186.5,17.50,1.1688,643.04,9.73,13.88
1482.5,9.2,2.3,118,2334.1,2828,1012,10.50,27.48333333,186.9,17.50,1.1688,638.25,9.725,13.88
1483,9.1,2.9,118,2307.5,2788,1012,10.50,27.53333333,187.2,17.50,1.1688,636.34,9.72,13.88
1483.5,8.9,2.9,118,2300.3,2741,1013,10.50,27.6,187.7,17.50,1.1688,634.44,9.725,13.885
1484,8.6,3.7,118,2320.1,2720,1014,10.50,27.65,188.1,17.50,1.1688,631.14,9.73,13.89
1484.5,8.4,4.1,118,2472.5,2708,1014,10.50,27.71666667,188.5,17.50,1.1688,632.47,9.74,13.89
1485,9.5,4.1,118,2575.6,2695,1014,10.50,27.76666667,188.9,17.50,1.1688,636.69,9.75,13.89
1485.5,9.7,3.7,118,2577.4,2696,1015,10.50,27.81666667,189.2,17.50,1.1688,636.69,9.765,13.895
1486,9.8,3.2,118,2549.8,2696,1014,10.50,27.86666667,189.6,17.50,1.1688,635.65,9.78,13.9
1486.5,10.9,3.3,118,2685.4,2710,1014,10.50,27.91666667,189.9,17.50,1.1688,635.07,9.8,13.9
1487,10.5,4.3,118,2695.4,2728,1014,10.50,27.96666667,190.3,17.50,1.1688,636.01,9.82,13.9
1487.5,10.2,4.4,118,2685.4,2754,1013,10.50,28.01666667,190.6,17.50,1.1688,635.87,9.82,13.905
1488,10,4.2,118,2675.5,2769,1013,10.50,28.05,190.9,17.50,1.1688,636.82,9.82,13.91
1488.5,10.5,4.7,118,2717.3,2787,1012,10.50,28.11666667,191.3,17.50,1.1688,639.15,9.82,13.91
1489,10.4,4.7,118,2728.8,2808,1012,10.50,28.15,191.6,17.50,1.1688,639.7,9.82,13.91
1489.5,8.8,3.7,118,2589.1,2817,1011,10.50,28.21666667,192.1,17.50,1.1688,638.94,9.82,13.915
1490,9.2,3.6,118,2601.6,2822,1012,10.50,28.26666667,192.5,17.50,1.1688,639.27,9.82,13.92
1490.5,9.3,3.6,118,2613.4,2814,1012,10.50,28.31666667,192.8,17.50,1.1688,638.56,9.825,13.92
1491,9.2,3.4,118,2613,2794,1013,10.50,28.38333333,193.2,17.50,1.1688,639.45,9.83,13.92
1491.5,9.3,3.6,118,2645.6,2795,1013,10.50,28.43333333,193.6,17.50,1.1688,637.43,9.84,13.925
1492,9.2,3.8,118,2637.2,2810,1013,10.50,28.48333333,194,17.50,1.1688,632.36,9.85,13.93
1492.5,8.3,4.2,118,2515.7,2817,1013,10.50,28.55,194.4,17.50,1.1688,618.79,9.855,13.93
1493,10,6,119,2579.6,2827,1015,10.50,28.6,194.8,17.50,1.1688,613.89,9.86,13.93
1493.5,11.3,7.2,119,2704.9,2831,1015,10.50,28.65,195.1,17.50,1.1688,614.14,9.885,13.93
1494,11.9,7.6,119,2807,2821,1016,10.50,28.68333333,195.4,17.50,1.1688,615.52,9.91,13.93
1494.5,10,7.1,119,2699.8,2809,1016,10.50,28.73333333,195.8,17.50,1.1688,620.49,9.915,13.935
1495,8.7,5.8,119,2537.8,2792,1016,10.50,28.8,196.2,17.50,1.1688,643.48,9.92,13.94
1495.5,11.1,6.4,119,2608.8,2779,1016,10.50,28.85,196.6,17.50,1.1688,657.56,9.915,13.94
1496,10.4,6,119,2507.2,2763,1015,10.50,28.9,196.9,17.50,1.1688,659.3,9.91,13.94
1496.5,7.6,4.7,119,2341.6,2760,1016,10.50,28.96666667,197.4,17.50,1.1688,659.98,9.915,13.945
1497,8.9,4.8,119,2430.4,2769,1017,10.50,29.01666667,197.8,17.50,1.1688,659.43,9.92,13.95
1497.5,9.3,5.1,119,2475.5,2780,1016,10.50,29.06666667,198.2,17.50,1.1688,659.29,9.915,13.95
1498,10.7,6,119,2644.1,2783,1016,10.50,29.11666667,198.5,17.50,1.1688,660.27,9.91,13.95
1498.5,11.8,6.9,119,2743.2,2789,1016,10.50,29.16666667,198.8,17.50,1.1688,661.54,9.925,13.95
1499,12.3,7.3,119,2789.1,2793,1016,10.50,29.2,199.1,17.50,1.1688,663.46,9.94,13.95
1499.5,10.9,6.9,119,2723.6,2794,1016,10.50,29.25,199.5,17.50,1.1688,663.44,9.95,13.955
1500,10.8,6.4,119,2731.5,2799,1015,10.50,29.3,199.8,17.50,1.1688,663.21,9.96,13.96
1500.5,10.7,5.7,119,2700.8,2810,1016,10.50,29.35,200.1,17.50,1.1688,663.2,9.96,13.96
1501,11,5.7,119,2704,2818,1016,10.50,29.38333333,200.4,17.50,1.1688,663.63,9.96,13.96
1501.5,11.3,6.4,119,2766.4,2820,1016,10.50,29.43333333,200.8,17.50,1.1688,664.81,9.96,13.965
1502,11.3,6.3,119,2780.8,2826,1016,10.50,29.46666667,201.1,17.50,1.1688,665.24,9.96,13.97
1502.5,10.6,5.9,119,2709.8,2821,1016,10.50,29.53333333,201.4,17.50,1.1688,665.17,9.965,13.97
1503,9.1,5,119,2584.6,2828,1016,10.50,29.58333333,201.8,17.50,1.1688,664.11,9.97,13.97
1503.5,9.7,4.9,119,2590.9,2833,1016,10.50,29.63333333,202.2,17.50,1.1688,663.96,9.965,13.975
1504,9.1,4.2,119,2561.6,2839,1016,10.50,29.68333333,202.6,17.50,1.1688,663.9,9.96,13.98
1504.5,8.3,3.9,119,2534.2,2843,1015,10.50,29.75,203.1,17.50,1.1688,661.82,9.965,13.98
1505,4.9,2.6,119,2331.1,2845,1015,10.50,29.88333333,204,17.50,1.1688,658.09,9.97,13.98
1505.5,7.5,3.8,119,2512.9,2845,1015,10.50,29.96666667,204.6,17.50,1.1688,656.33,9.99,13.98
1506,10.6,5.2,119,2712.2,2856,1015,10.50,30.01666667,204.9,17.50,1.1688,652.45,10.01,13.98
1506.5,10.1,5.7,119,2762.6,2855,1015,10.50,30.06666667,205.3,17.50,1.1688,650.57,10.015,13.985
1507,6.5,4.2,119,2484.5,2839,1015,10.50,30.15,205.9,17.50,1.1688,647.49,10.02,13.99
1507.5,7.4,3.9,119,2513.6,2820,1015,10.50,30.21666667,206.4,17.50,1.1688,645.95,10.025,13.99
1508,8.8,4.3,119,2568.6,2813,1015,10.50,30.28333333,206.8,17.50,1.1688,645.98,10.03,13.99
1508.5,10.7,5.1,119,2688.1,2813,1015,10.50,30.33333333,207.2,17.50,1.1688,646.45,10.025,13.995
1509,12.2,5.8,119,2719.1,2815,1015,10.50,30.36666667,207.5,17.50,1.1688,648.5,10.02,14
1509.5,12.2,5.8,119,2708.1,2816,1015,10.50,30.41666667,207.7,17.50,1.1688,649.87,10.02,14
1510,11.3,5.1,119,2615.8,2819,1015,10.50,30.45,208.1,17.50,1.1688,649.42,10.02,14
1510.5,10.3,4.3,119,2565.3,2811,1015,10.50,30.5,208.4,17.50,1.1688,648.55,10.035,14.005
1511,9.9,4.2,119,2632.5,2807,1015,10.50,30.55,208.8,17.50,1.1688,647.08,10.05,14.01
1511.5,9.5,4,119,2547.1,2814,1015,10.50,30.6,209.1,17.50,1.1688,643.72,10.05,14.01
1512,9.9,3.7,119,2500.9,2825,1015,10.50,30.65,209.5,17.50,1.1688,640.89,10.05,14.01
1512.5,11.5,4.6,119,2634.2,2841,1014,10.50,30.7,209.8,17.50,1.1688,640.04,10.065,14.015
1513,11,5.4,119,2703.8,2838,1014,10.50,30.75,210.1,17.50,1.1688,636.56,10.08,14.02
1513.5,10,4.3,119,2566.1,2848,1014,10.50,30.8,210.5,17.50,1.1688,634.69,10.075,14.02
1514,9.9,3.8,119,2524.4,2851,1014,10.50,30.85,210.9,17.50,1.1688,632.6,10.07,14.02
1514.5,9.9,4,119,2559.6,2847,1014,10.50,30.9,211.2,17.50,1.1688,631.52,10.035,14.02
1515,10,4,119,2570.3,2849,1014,10.50,30.95,211.6,17.50,1.1688,630.11,10,14.02
1515.5,11.1,4.2,119,2601.9,2852,1015,10.50,31,211.9,17.50,1.1688,631.05,10.01,14.025
1516,11.4,4.3,119,2605.5,2855,1015,10.50,31.03333333,212.2,17.50,1.1688,631.79,10.02,14.03
1516.5,13,5.1,119,2714.8,2857,1014,10.50,31.06666667,212.5,17.50,1.1688,632.79,10,14.03
1517,13.1,4.3,119,2627.8,2854,1015,10.50,31.11666667,212.8,17.50,1.1688,633.1,9.98,14.03
1517.5,13,5,119,2685.8,2838,1015,10.50,31.15,213,17.50,1.1688,633.71,10,14.035
1518,11.5,5.5,119,2733.2,2837,1015,10.50,31.2,213.4,17.50,1.1688,633.9,10.02,14.04
1518.5,11.5,5.7,119,2770,2840,1015,10.50,31.23333333,213.7,17.50,1.1688,633.64,9.995,14.04
1519,11.6,6.4,119,2878.7,2842,1015,10.50,31.28333333,214,17.50,1.1688,632.61,9.97,14.04
1519.5,10.3,5.9,119,2799.6,2843,1015,10.50,31.33333333,214.4,17.50,1.1688,629.32,9.94,14.045
1520,10.1,6,119,2802.7,2841,1015,10.50,31.38333333,214.7,17.50,1.1688,632.69,9.91,14.05
1520.5,11.7,6.4,119,2863.3,2844,1013,10.50,31.43333333,215,17.50,1.1688,632.57,9.915,14.05
1521,12.9,6.8,119,2900.4,2839,1014,10.50,31.46666667,215.3,17.50,1.1688,630.42,9.92,14.05
1521.5,13.7,6.6,119,2791.9,2833,1011,10.50,31.5,215.6,17.50,1.1688,622.04,9.935,14.05
1522,8.7,6.9,118,2770.8,2813,1006,10.50,31.56666667,216.1,17.50,1.1688,620.77,9.95,14.05
1522.5,11.8,7.6,118,2872,2809,1004,10.50,31.61666667,216.4,17.50,1.1688,620.43,9.965,14.055
1523,12.2,7.7,118,2915.8,2810,1005,10.50,31.66666667,216.7,17.50,1.1688,620.9,9.98,14.06
1523.5,13.1,8.6,118,3002.1,2804,1006,10.50,31.7,217,17.50,1.1688,620.16,9.98,14.06
1524,8,7,118,2775.6,2809,1006,10.50,31.78333333,217.5,17.50,1.1688,619.67,9.98,14.06
1524.5,9.8,6.2,119,2710.6,2819,1007,10.50,31.83333333,217.9,17.50,1.1688,619.42,9.985,14.065
1525,10.6,5.8,119,2754,2840,1011,10.50,31.88333333,218.2,17.50,1.1688,620.29,9.99,14.07
1525.5,11.4,6.5,119,2819.6,2848,1012,10.50,31.91666667,218.5,17.50,1.1688,618.29,9.995,14.07
1526,12.2,7.1,118,2900.3,2845,1012,10.50,31.96666667,218.8,17.50,1.1688,619.94,10,14.07
1526.5,12.6,7.7,118,2949.6,2843,1013,10.50,32,219.1,17.50,1.1688,619.49,9.985,14.07
1527,12.8,7.3,118,2902.8,2848,1012,10.50,32.03333333,219.4,17.50,1.1688,620.66,9.97,14.07
1527.5,11.1,6.1,119,2729.3,2853,1012,10.50,32.08333333,219.7,17.50,1.1688,619.63,9.98,14.075
1528,11.2,5.9,119,2710.6,2872,1012,10.50,32.13333333,220,17.50,1.1688,617.82,9.99,14.08
1528.5,11,5.8,119,2698.2,2881,1012,10.50,32.16666667,220.3,17.50,1.1688,618.1,10,14.08
1529,11.7,6.3,119,2732.9,2882,1011,10.50,32.21666667,220.7,17.50,1.1688,625.55,10.01,14.08
1529.5,12.1,6.6,119,2800.1,2893,1011,10.50,32.25,220.9,17.50,1.1688,651.64,10.02,14.085
1530,12.5,7.1,119,2870.7,2910,1010,10.50,32.3,221.2,17.50,1.1688,660.19,10.03,14.09
1530.5,13,7.2,119,2872.2,2895,1011,10.50,32.33333333,221.5,17.50,1.1688,660.51,10.045,14.09
1531,13.2,7.8,119,2879,2891,1010,10.50,32.38333333,221.8,17.50,1.1688,660.79,10.06,14.09
1531.5,12.8,8.2,119,2953.4,2899,1010,10.50,32.41666667,222.1,17.50,1.1688,661.26,10.04,14.09
1532,12.7,8.8,119,3041.7,2911,1010,10.50,32.45,222.3,17.50,1.1688,662.31,10.02,14.09
1532.5,12,8.8,119,3015,2912,1010,10.50,32.5,222.6,17.50,1.1688,660.24,10.015,14.095
1533,11.6,8.9,119,2953.6,2920,1010,10.50,32.53333333,222.9,17.50,1.1688,659.05,10.01,14.1
1533.5,11.6,8.9,119,2900.1,2925,1010,10.50,32.58333333,223.3,17.50,1.1688,657.8,10.015,14.1
1534,12.1,8.6,119,2927.7,2928,1010,10.50,32.63333333,223.6,17.50,1.1688,657.37,10.02,14.1
1534.5,12.4,7.8,119,2904.7,2927,1010,10.50,32.66666667,223.8,17.50,1.1688,656.93,10.025,14.105
1535,12.5,7.5,119,2843.5,2936,1010,10.50,32.7,224.1,17.50,1.1688,658.3,10.03,14.11
1535.5,12.9,7.5,119,2792.2,2934,1010,10.50,32.75,224.4,17.50,1.1688,657.35,10.03,14.11
1536,12.7,7.3,119,2736.4,2940,1010,10.50,32.78333333,224.7,17.50,1.1688,656.18,10.03,14.11
1536.5,12.2,7,119,2718.8,2933,1010,10.50,32.81666667,225,17.50,1.1688,655.53,10.03,14.11
1537,10.3,6.6,119,2609.3,2934,1010,10.50,32.86666667,225.3,17.50,1.1688,655.46,10.03,14.11
1537.5,8.9,6.5,119,2542,2932,1010,10.50,32.93333333,225.7,17.50,1.1688,654.5,10.04,14.115
1538,8.7,6.9,119,2572.3,2932,1010,10.50,32.98333333,226.1,17.50,1.1688,655.85,10.05,14.12
1538.5,8.6,6.3,119,2540.2,2932,1010,10.50,33.05,226.6,17.50,1.1688,652.44,10.045,14.12
1539,8.6,6,119,2535.3,2933,1010,10.50,33.1,226.9,17.50,1.1688,650.78,10.04,14.12
1539.5,9.6,6.4,119,2577.3,2928,1010,10.50,33.15,227.3,17.50,1.1688,648.43,10.04,14.125
1540,10.5,7.1,119,2654.3,2929,1010,10.50,33.2,227.7,17.50,1.1688,646.63,10.04,14.13
1540.5,9.7,7.6,119,2617.4,2927,1010,10.50,33.25,228.1,17.50,1.1688,642.68,10.055,14.13
1541,12,8.7,119,2694,2928,1010,10.50,33.3,228.4,17.50,1.1688,644.96,10.07,14.13
1541.5,13,9.4,119,2806.8,2926,1010,10.50,33.33333333,228.6,17.50,1.1688,645.12,10.065,14.135
1542,12.5,8.8,119,2774.9,2930,1010,10.50,33.38333333,228.9,17.50,1.1688,644.33,10.06,14.14
1542.5,11.8,8.7,119,2802.5,2933,1010,10.50,33.41666667,229.2,17.50,1.1688,644.42,10.05,14.14
1543,10.5,8,119,2737.7,2930,1010,10.50,33.46666667,229.6,17.50,1.1688,643.73,10.04,14.14
1543.5,10.2,7.5,119,2699.9,2928,1010,10.50,33.51666667,229.9,17.50,1.1688,641.94,10.04,14.14
1544,11.1,8.4,119,2836.2,2930,1010,10.50,33.56666667,230.2,17.50,1.1688,643.07,10.04,14.14
1544.5,10.7,8.4,119,2837.1,2928,1010,10.50,33.61666667,230.6,17.50,1.1688,643.07,10.04,14.145
1545,10.6,8.1,119,2822.5,2929,1010,10.50,33.65,230.9,17.50,1.1688,640.95,10.04,14.15
1545.5,9.9,8,119,2787.4,2930,1010,10.50,33.71666667,231.3,17.50,1.1688,635.92,10.035,14.15
1546,12,9.8,118,3005.4,2929,1010,10.50,33.75,231.6,17.50,1.1688,603.68,10.03,14.15
1546.5,11.9,9.5,119,2993.3,2927,1010,10.50,33.8,231.9,17.50,1.1688,633.68,10.03,14.155
1547,11.7,9.8,119,2988.1,2923,1008,10.50,33.83333333,232.2,17.50,1.1688,642.35,10.03,14.16
1547.5,11.1,10.3,119,2954.9,2923,1010,10.50,33.88333333,232.5,17.50,1.1688,640.47,10.035,14.16
1548,10.8,10.6,119,2931.7,2922,1010,10.50,33.93333333,232.8,17.50,1.1688,639.91,10.04,14.16
1548.5,10.5,10.3,119,2930.1,2922,1010,10.50,33.96666667,233.1,17.50,1.1688,639.25,10.04,14.16
1549,11.3,10.9,119,2998,2927,1010,10.50,34.01666667,233.5,17.50,1.1688,634.67,10.04,14.16
1549.5,8.1,9.1,120,2791.5,2946,1010,10.50,34.08333333,234,17.50,1.1688,608.57,10.04,14.165
1550,8.1,7.9,121,2713.3,2943,1011,10.50,34.15,234.4,17.50,1.1688,606.26,10.04,14.17
1550.5,10.4,9.4,121,3011.1,2919,1012,10.50,34.2,234.8,17.50,1.1688,607.3,10.04,14.17
1551,11.3,10.5,121,3092.4,2903,1011,10.50,34.23333333,235.1,17.50,1.1688,612.55,10.04,14.17
1551.5,11.5,11,121,3107.9,2906,1011,10.50,34.28333333,235.4,17.50,1.1688,625.85,10.035,14.175
1552,10.2,10.7,121,3010.1,2923,1011,10.50,34.33333333,235.8,17.50,1.1688,642.39,10.03,14.18
1552.5,10.4,11.2,121,3057,2921,1010,10.50,34.38333333,236.1,17.50,1.1688,647.21,10.015,14.18
1553,8.4,13.7,121,3071.5,2916,1010,10.50,34.45,236.6,17.50,1.1688,647.54,10,14.18
1553.5,9.7,10.8,121,3044.9,2925,1010,10.50,34.5,236.9,17.50,1.1688,645.93,9.98,14.185
1554,10.6,9.6,121,2997.5,2933,1010,10.50,34.55,237.3,17.50,1.1688,645.86,9.96,14.19
1554.5,10.7,9.4,120,2976.1,2935,1010,10.50,34.58333333,237.6,17.50,1.1688,645.14,9.945,14.19
1555,10.5,9.3,120,2940,2938,1010,10.50,34.65,238,17.50,1.1688,645.32,9.93,14.19
1555.5,10.6,9.4,120,2966.7,2944,1009,10.50,34.68333333,238.3,17.50,1.1688,646.87,9.92,14.19
1556,10.2,8.2,120,2841.4,2938,1009,10.50,34.73333333,238.7,17.50,1.1688,647.29,9.91,14.19
1556.5,7.7,5.6,120,2546.5,2939,1008,10.50,34.8,239.2,17.50,1.1688,649.89,9.905,14.195
1557,7.7,6.2,120,2584.7,2940,1009,10.50,34.86666667,239.6,17.50,1.1688,649.67,9.9,14.2
1557.5,6,8,120,2617.3,2941,1009,10.50,34.96666667,240.3,17.50,1.1688,650.94,9.885,14.2
