Depth (m),ROP Avg(m/hr),Surface WOB Avg(klb),RPM Surface Avg (rpm),Torque Abs Avg (f-b),SPP Avg (psig),Flow in Pum Avg(gpm),M.wt(ppg),HOB(min),Rev On Bit (krev),Bit Diameter,Nozzle size(in2),pit volume(bbl)
1251.5,17.4,2.9,100,2205.1,2494,1025,10.30,238,18.4,17.50,78,711.82
1252,15.7,2.8,100,2175.9,2491,1025,10.30,240,18.6,17.50,78,711.44
1252.5,15.9,3.3,100,2260.2,2483,1025,10.30,242,18.8,17.50,78,712.11
1253,17.2,3.3,100,2266.5,2472,1023,10.30,243,19,17.50,78,713.54
1253.5,17.1,3.1,100,2179.5,2462,1025,10.30,245,19.2,17.50,78,710.84
1254,18.2,3.6,100,2251.6,2437,1024,10.30,247,19.3,17.50,78,709.68
1254.5,18.7,3.9,100,2324.6,2444,1024,10.30,248,19.5,17.50,78,707.96
1255,18,4,100,2305,2428,1024,10.30,250,19.7,17.50,78,706.28
1255.5,17.6,3.3,100,2194.4,2454,1024,10.30,252,19.8,17.50,78,705.19
1256,17.3,3.3,101,2169.2,2465,1025,10.30,254,20,17.50,78,706.53
1256.5,17.7,3.7,105,2263.6,2470,1025,10.30,255,20.2,17.50,78,706.63
1257,20.8,4.5,116,2418.3,2468,1025,10.30,257,20.4,17.50,78,701.09
1257.5,23.7,5.7,119,2605.8,2457,1025,10.30,258,20.5,17.50,78,696.7
1258,23.3,5.2,119,2518.9,2464,1025,10.30,259,20.7,17.50,78,696.31
1258.5,22.6,4.8,119,2450.6,2472,1026,10.30,261,20.8,17.50,78,693.5
1259,21.7,4.6,119,2473.2,2483,1027,10.30,262,21,17.50,78,695.09
1259.5,21,5.2,119,2570,2485,1028,10.30,263,21.2,17.50,78,697.97
1260,20.8,5.9,119,2720,2480,1028,10.30,265,21.3,17.50,78,695.36
1260.5,21.3,6.6,119,2817.5,2489,1028,10.30,266,21.5,17.50,78,693.92
1261,21,6.6,119,2783.4,2497,1029,10.30,268,21.7,17.50,78,690.51
1261.5,19.7,5.4,119,2607.7,2490,1028,10.30,269,21.8,17.50,78,690.81
1262,20.7,4.9,119,2585.2,2488,1028,10.30,271,22,17.50,78,690.11
1262.5,20.9,5,119,2652.7,2486,1028,10.30,272,22.2,17.50,78,687.09
1263,20.4,4.9,119,2609.3,2483,1028,10.30,273,22.4,17.50,78,688.33
1263.5,20.3,4.5,119,2562.8,2480,1028,10.30,275,22.6,17.50,78,693.12
1264,19.9,4.5,119,2554.9,2475,1018,10.30,276,22.7,17.50,78,696.55
1264.5,18.2,4.1,119,2460.3,2421,974,10.30,278,22.9,17.50,78,691.76
1265,15.3,2.6,120,2139.1,2224,772,10.30,280,23.2,17.50,78,678.52
1265.5,17.6,2.9,121,2423.4,1987,550,10.30,282,23.4,17.50,78,675.88
1266,17.3,2.5,121,2520.4,1893,508,10.30,284,23.6,17.50,78,677.04
1266.5,16,2.9,121,2493.8,1832,516,10.30,286,23.8,17.50,78,677.44
1267,14.6,2.1,120,2368.9,1883,562,10.30,288,24.1,17.50,78,676.35
1267.5,14.9,2.5,119,2199.2,2116,761,10.30,292,24.6,17.50,78,675.53
1268,14.9,3.3,118,2276.1,2413,996,10.30,295,24.9,17.50,78,676.99
1268.5,13.2,3.1,117,2250.9,2455,1039,10.30,297,25.2,17.50,78,678.55
1269,11.9,2.5,117,2182.4,2446,1038,10.30,299,25.5,17.50,78,680.95
1269.5,11.2,1.9,117,2067.8,2434,1037,10.30,302,25.8,17.50,78,682.93
1270,11.2,1.4,117,1998,2412,1032,10.30,305,26.1,17.50,78,685.53
1270.5,11.5,2.2,117,1984.6,2403,1031,10.30,308,26.4,17.50,78,687.57
1271,11.9,3.3,117,2092.7,2401,1031,10.30,310,26.7,17.50,78,687.92
1271.5,10.4,3,117,2098.8,2395,1031,10.30,313,27.1,17.50,78,686.88
1272,10.4,2.8,117,2080.1,2378,1031,10.30,316,27.4,17.50,78,685.49
1272.5,10.3,2.6,117,2060.8,2360,1031,10.30,319,27.7,17.50,78,685.19
1273,10.6,2.4,117,2055.8,2333,1030,10.30,322,28.1,17.50,78,683.46
1273.5,10.5,2,117,2049.8,2316,1030,10.30,324,28.4,17.50,78,683.14
1274,10.7,2,117,2063.7,2303,1030,10.30,327,28.7,17.50,78,681.7
1274.5,12.5,2.7,117,2144.8,2268,1029,10.30,330,29,17.50,78,680.37
1275,12.5,2.8,118,2159.9,2257,1029,10.30,332,29.3,17.50,78,678.55
1275.5,11.4,2.2,118,2097.8,2261,1029,10.30,335,29.6,17.50,78,677.89
1276,10.4,2.5,118,2096.3,2299,1028,10.30,338,29.9,17.50,78,673.45
1276.5,9.6,2.1,119,2077.8,2428,1025,10.30,341,30.3,17.50,78,672.72
1277,11.1,2.8,119,2135.4,2445,1026,10.30,343,30.6,17.50,78,673.11
1277.5,11.9,3.1,119,2146.4,2448,1025,10.30,346,31,17.50,78,673.53
1278,11.2,3.1,119,2143,2448,1026,10.30,349,31.3,17.50,78,671.83
1278.5,10.8,2.6,119,2119.6,2445,1025,10.30,351,31.6,17.50,78,670.52
1279,11.1,2.6,119,2133.6,2442,1026,10.30,354,31.9,17.50,78,669.45
1279.5,11.4,2.5,119,2132.7,2443,1025,10.30,357,32.2,17.50,78,668.88
1280,12.2,2.5,119,2153.1,2458,1025,10.30,359,32.5,17.50,78,667.47
1280.5,12.3,2.4,119,2160.7,2473,1024,10.30,362,32.8,17.50,78,666.31
1281,11.6,2.3,119,2115.2,2464,1024,10.30,364,33.1,17.50,78,666.53
1281.5,12.3,2.8,119,2161.8,2442,1025,10.30,367,33.4,17.50,78,668.24
1282,11.6,3,119,2189.6,2438,1025,10.30,369,33.7,17.50,78,667.09
1282.5,11.4,2.1,119,2107.8,2455,1025,10.30,372,34.1,17.50,78,666.75
1283,11.1,2.2,119,2113.9,2477,1024,10.30,375,34.4,17.50,78,666.97
1283.5,11.1,3.2,119,2117.1,2499,1023,10.30,378,34.7,17.50,78,668.39
1284,11,3.7,119,2161,2501,1023,10.30,380,35,17.50,78,671.59
1284.5,10.8,3.4,119,2178.8,2477,1023,10.30,383,35.4,17.50,78,669.71
1285,10.8,3.6,119,2189.7,2506,1022,10.30,386,35.7,17.50,78,669.77
1285.5,10.6,3.8,119,2193.2,2542,1021,10.30,388,36,17.50,78,666.39
1286,10.5,3.9,119,2207.8,2571,1020,10.30,392,36.4,17.50,78,666.68
1286.5,10.4,3.9,119,2187.7,2578,1020,10.30,394,36.7,17.50,78,663.61
1287,10.3,4.1,119,2212.1,2583,1019,10.30,397,37.1,17.50,78,661.98
1287.5,10.6,4.2,119,2261.7,2587,1019,10.30,400,37.4,17.50,78,659.77
1288,8.4,3.4,119,2124.9,2583,1018,10.30,404,37.8,17.50,78,660.68
1288.5,8.8,3.6,119,2175.9,2583,1019,10.30,407,38.3,17.50,78,660.2
1289,8.7,3.3,119,2100.3,2581,1019,10.30,411,38.6,17.50,78,657.88
1289.5,8.8,3.3,119,2094.4,2570,1020,10.30,414,39.1,17.50,78,657.79
1290,8,2.9,119,2058.3,2534,1021,10.30,418,39.5,17.50,78,659.61
1290.5,8.3,2.7,119,2013,2515,1021,10.30,422,40,17.50,78,659.86
1291,8.8,2.8,119,2079.8,2514,1021,10.30,425,40.4,17.50,78,659.23
1291.5,8.8,2.7,119,2095.3,2516,1021,10.30,428,40.7,17.50,78,656.62
1292,8.5,2.5,119,2075.4,2508,1021,10.30,432,41.2,17.50,78,656.89
1292.5,8.4,2.6,119,2061.2,2500,1021,10.30,435,41.6,17.50,78,656.89
1293,7.7,2.2,119,1945.3,2496,1021,10.30,440,42.1,17.50,78,653.87
1293.5,12.7,3.7,119,1928.3,2524,1020,10.30,443,42.5,17.50,78,642.88
1294,15.3,6,119,2270.6,2540,1019,10.30,444,42.7,17.50,78,645.6
1294.5,17.8,7.2,119,2456.3,2530,1019,10.30,446,42.9,17.50,78,649.27
1295,19.5,8.1,119,2613.1,2526,1019,10.30,448,43.1,17.50,78,649.78
1295.5,16.1,8,119,2530,2515,1020,10.30,450,43.4,17.50,78,652.21
1296,8.4,6.7,119,2315.5,2493,1021,10.30,455,43.9,17.50,78,656.54
